Temperature,Concentration,Diffusion Coefficient,R^2,stderr,K_alpha,alpha,R^2_anomalous,stderr_K_alpha,stderr_alpha
264.7067067067067,66,2.6345003652507576e-11,0.9666068897672139,1.175212687952985e-05,6.12374913905797e-10,0.5463431761894766,0.9418041021874576,8.964909892725084e-05,0.0006962473043874626
264.5065065065065,66,2.548009067290705e-11,0.9902363325691319,6.072293375841476e-06,5.950615271892654e-10,0.5453782233236955,0.9515527599582447,7.823100247156466e-05,0.000625353982410544
264.4064064064064,66,2.03116343958147e-11,0.831672038218111,2.1931163321255555e-05,5.732000591874507e-10,0.4908835843021415,0.7107148430621133,0.00017446490653845353,0.0014613350578920339
263.6056056056056,66,1.647223927507498e-11,0.9278020063817287,1.1028139954779e-05,5.243965208129783e-10,0.4523453321987008,0.8212768799577571,0.00010857776183274529,0.0010011654011413808
263.5055055055055,66,5.952605433783585e-11,0.9733733664976976,2.3628720949192928e-05,8.959664337991181e-10,0.6791564503821403,0.9814030428848316,9.951998861832278e-05,0.0005181216559144342
262.5045045045045,66,2.273199905155205e-11,0.6947132537671292,3.616625401167454e-05,1.8715228396806664e-10,0.953565735833232,0.6420652867346477,0.0001391405596697426,0.0033667557009026666
262.40440440440443,66,4.47329162099383e-11,0.9871087707576337,1.2268927154316702e-05,3.488425492000321e-10,0.9239416245854192,0.9766693952207098,6.111514400145876e-05,0.0007954615417930024
262.3043043043043,66,2.2089550883120207e-11,0.7481210532736007,3.076178964896487e-05,3.2389360834608344e-10,0.7273389739801529,0.6542327029864276,0.0001718240895898069,0.002459708557657752
262.2042042042042,66,3.363066975296211e-11,0.9502429661422267,1.8469712795242615e-05,4.751545262873458e-10,0.7209669900724552,0.8976235323141732,0.0001272567378019884,0.0012426982256475482
261.5035035035035,66,6.772688782181534e-11,0.9922459990676741,1.4369083937833227e-05,6.343783389022852e-10,0.8512029315483896,0.9829631786777961,8.698541926326951e-05,0.0006269824136392394
260.80280280280283,66,1.5448366382862245e-11,0.8783070275401585,1.380088216487355e-05,4.78054271736922e-10,0.46199581518653826,0.7457036698499128,0.00012391665111360995,0.0012510771936764733
260.5025025025025,66,1.2791670278792446e-11,0.9310785169478261,8.35268544260709e-06,6.593035797813087e-10,0.3271218940839301,0.9576315665560616,4.431281355926063e-05,0.00033374822228042343
