Temperature,Concentration,Diffusion Coefficient,R^2,stderr
348.5905905905906,66,4.313917048662864e-12,0.8069447161974342,1.3262069829033436e-05
347.98998998999,66,2.6040872589291195e-11,0.9612276165363643,2.2181903679704577e-05
347.7897897897898,66,6.823802634764164e-11,0.9925905495031214,2.7449028109874553e-05
347.18918918918916,66,5.7141569968234647e-11,0.9886620044963353,2.9009717018887155e-05
345.88788788788787,66,6.965188927677896e-11,0.9864650305653955,4.2822042769473785e-05
345.58758758758756,66,1.318365138444081e-10,0.9997335218331062,1.067236373530226e-05
344.1861861861862,66,7.223684647507563e-11,0.9883951371140235,3.76217679387241e-05
343.5855855855856,66,2.42475556789385e-11,0.9920293101645334,1.0179136397268627e-05
343.48548548548547,66,3.6545270979525014e-11,0.9843799068887396,2.212673530483492e-05
342.88488488488485,66,1.675908195787176e-10,0.9897873748133162,9.863727457381447e-05
342.68468468468467,66,4.9671525879310106e-11,0.9906249238830994,2.236650437072052e-05
342.2842842842843,66,1.3931884459734615e-10,0.9826643165740944,9.082598304895073e-05
342.0840840840841,66,1.097507400548523e-10,0.9991686695379322,1.7286956966484548e-05
341.28328328328325,66,9.613623062706464e-13,0.5267603863772604,3.1085747238851334e-06
341.1831831831832,66,1.039614293316843e-10,0.999895950969336,5.907176680221064e-06
340.8828828828829,66,5.913973681985478e-11,0.9993444209784927,8.113314491785636e-06
340.6826826826827,66,6.532816233723988e-12,0.836930446681975,9.892769917400753e-06
339.98198198198196,66,2.0953811129268673e-11,0.9890586462120049,1.1033573789631347e-05
338.68068068068067,66,2.7672128014216272e-11,0.9928379063112405,1.5225852259590777e-05
338.5805805805806,66,2.6385595431699457e-11,0.9921268267622005,1.127225135144692e-05
338.2802802802803,66,4.2106084846815856e-11,0.9921836963394172,1.5890312318272266e-05
338.08008008008005,66,7.138933831078829e-11,0.9747722958868755,5.1406970758424765e-05
336.97897897897894,66,1.6664976765708162e-11,0.9569444112252786,1.6514960695578216e-05
336.6786786786787,66,1.4446085544972052e-10,0.9967457476400616,4.619746528424368e-05
336.47847847847845,66,9.783810724366052e-13,0.08133432811156424,1.0245040146327956e-05
335.77777777777777,66,4.516145709040318e-11,0.9942422753597012,1.6269911818967637e-05
335.2772772772773,66,1.0420127551578239e-11,0.9668938067888955,9.661514965455554e-06
334.7767767767768,66,6.968427097188342e-12,0.9569553154923891,7.81707754402944e-06
334.4764764764765,66,2.6787323443715792e-11,0.9920885585901941,1.0768990692795855e-05
334.17617617617617,66,2.739569945757365e-11,0.9977754605221553,6.063740082160905e-06
334.0760760760761,66,5.433626437970626e-11,0.9975609263373051,1.3903869146093545e-05
333.37537537537537,66,6.106391566049471e-11,0.9050831013251827,7.500561107040668e-05
332.6746746746747,66,9.10733654350491e-11,0.9922083403412211,3.742308168614465e-05
